BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
Software_Priacy_v3.nlogo,,,,,,,,,,,,
Release Interval Variation Preferential,,,,,,,,,,,,
05/11/2021 22:39:14:573 +0530,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-16,16,-16,16,,,,,,,,,
[run number],Crack-Distribution-Radius,Waiting-Threshold,Price,Months-To-Crack,New-Version-Release-Interval,Price-Threshold,Network-Type,Max-License-Period,Num-People,[step],profit,loss
248,5,12,10,7,11,20,Preferential Attachment,7,100,36001,1060,7330
247,5,12,10,7,11,20,Preferential Attachment,7,100,36001,280,8340
249,5,12,10,7,11,20,Preferential Attachment,7,100,36001,1280,7350
251,5,12,10,7,12,20,Preferential Attachment,7,100,36001,480,7200
250,5,12,10,7,12,20,Preferential Attachment,7,100,36001,570,7170
252,5,12,10,7,12,20,Preferential Attachment,7,100,36001,450,7210
253,5,12,10,8,1,20,Preferential Attachment,7,100,36001,21440,150
254,5,12,10,8,1,20,Preferential Attachment,7,100,36001,20820,450
255,5,12,10,8,1,20,Preferential Attachment,7,100,36001,22610,150
256,5,12,10,8,2,20,Preferential Attachment,7,100,36001,21540,150
258,5,12,10,8,2,20,Preferential Attachment,7,100,36001,21130,150
257,5,12,10,8,2,20,Preferential Attachment,7,100,36001,20940,150
259,5,12,10,8,3,20,Preferential Attachment,7,100,36001,26350,0
260,5,12,10,8,3,20,Preferential Attachment,7,100,36001,25540,300
261,5,12,10,8,3,20,Preferential Attachment,7,100,36001,24520,150
263,5,12,10,8,4,20,Preferential Attachment,7,100,36001,22780,290
262,5,12,10,8,4,20,Preferential Attachment,7,100,36001,25100,150
264,5,12,10,8,4,20,Preferential Attachment,7,100,36001,23950,150
265,5,12,10,8,5,20,Preferential Attachment,7,100,36001,24380,0
267,5,12,10,8,5,20,Preferential Attachment,7,100,36001,29970,300
266,5,12,10,8,5,20,Preferential Attachment,7,100,36001,26050,0
268,5,12,10,8,6,20,Preferential Attachment,7,100,36001,25150,650
269,5,12,10,8,6,20,Preferential Attachment,7,100,36001,25200,0
270,5,12,10,8,6,20,Preferential Attachment,7,100,36001,32800,300
271,5,12,10,8,7,20,Preferential Attachment,7,100,36001,39270,150
272,5,12,10,8,7,20,Preferential Attachment,7,100,36001,30320,150
273,5,12,10,8,7,20,Preferential Attachment,7,100,36001,30140,0
274,5,12,10,8,8,20,Preferential Attachment,7,100,36001,6630,5560
275,5,12,10,8,8,20,Preferential Attachment,7,100,36001,9040,300
276,5,12,10,8,8,20,Preferential Attachment,7,100,36001,7590,1140
277,5,12,10,8,9,20,Preferential Attachment,7,100,36001,2430,7760
